timestamp,stock_id,deal_volume,deal_amount,open_price,high_price,low_price,close_price,price_diff,trade_count,estimated_day_volume,pct_of_yesterday_avg,total_in_volume,total_out_volume,buy_prices,buy_volumes,sell_prices,sell_volumes,byIndexFlag,extra_data
20260515 09:44:01,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[219, 331, 359, 307, 663]","[22950000, 23000000, 23050000, 23100000, 23150000]","[215, 850, 269, 515, 512]",50,{}
20260515 09:44:06,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[217, 331, 358, 308, 664]","[22950000, 23000000, 23050000, 23100000, 23150000]","[215, 851, 269, 515, 511]",50,{}
20260515 09:44:11,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[215, 331, 358, 308, 664]","[22950000, 23000000, 23050000, 23100000, 23150000]","[217, 848, 270, 515, 512]",50,{}
20260515 09:44:16,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[232, 331, 358, 308, 665]","[22950000, 23000000, 23050000, 23100000, 23150000]","[220, 850, 270, 515, 512]",50,{}
20260515 09:44:21,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[230, 331, 356, 308, 665]","[22950000, 23000000, 23050000, 23100000, 23150000]","[219, 852, 271, 515, 512]",50,{}
20260515 09:44:26,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[230, 348, 356, 308, 666]","[22950000, 23000000, 23050000, 23100000, 23150000]","[219, 857, 272, 514, 512]",50,{}
20260515 09:44:31,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[232, 347, 357, 308, 667]","[22950000, 23000000, 23050000, 23100000, 23150000]","[228, 857, 272, 514, 512]",50,{}
20260515 09:44:36,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[229, 347, 357, 310, 667]","[22950000, 23000000, 23050000, 23100000, 23150000]","[226, 857, 273, 514, 512]",50,{}
20260515 09:44:41,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[232, 347, 355, 312, 667]","[22950000, 23000000, 23050000, 23100000, 23150000]","[228, 862, 273, 516, 512]",50,{}
20260515 09:44:46,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[232, 346, 355, 312, 669]","[22950000, 23000000, 23050000, 23100000, 23150000]","[230, 862, 274, 517, 511]",50,{}
20260515 09:44:51,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[233, 346, 358, 311, 669]","[22950000, 23000000, 23050000, 23100000, 23150000]","[233, 861, 275, 516, 511]",50,{}
20260515 09:44:56,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[230, 347, 358, 311, 669]","[22950000, 23000000, 23050000, 23100000, 23150000]","[231, 859, 275, 518, 511]",50,{}
20260515 09:45:01,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[230, 347, 358, 311, 668]","[22950000, 23000000, 23050000, 23100000, 23150000]","[229, 859, 275, 518, 511]",50,{}
20260515 09:45:06,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[445, 340, 358, 312, 668]","[22950000, 23000000, 23050000, 23100000, 23150000]","[224, 853, 245, 519, 512]",50,{}
20260515 09:45:11,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[453, 341, 358, 312, 667]","[22950000, 23000000, 23050000, 23100000, 23150000]","[223, 800, 245, 517, 515]",50,{}
20260515 09:45:16,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[605, 339, 358, 312, 668]","[22950000, 23000000, 23050000, 23100000, 23150000]","[217, 861, 276, 519, 514]",50,{}
20260515 09:45:21,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[576, 339, 357, 312, 668]","[22950000, 23000000, 23050000, 23100000, 23150000]","[211, 860, 277, 520, 514]",50,{}
20260515 09:45:26,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[574, 340, 357, 320, 668]","[22950000, 23000000, 23050000, 23100000, 23150000]","[213, 861, 276, 520, 514]",50,{}
